t=2026-06-04T10:21:02-0600 lvl=info msg="no configuration paths supplied"
t=2026-06-04T10:21:02-0600 lvl=info msg="using configuration at default config path" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-06-04T10:21:02-0600 lvl=info msg="open config file" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-06-04T10:21:02-0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-04T10:21:02-0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-04T10:21:02-0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-04T10:21:02-0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-04T12:38:02-0600 lvl=info msg="join connections" obj=join id=c237bc8501f4 l=[::1]:3000 r=[2a03:2880:2ff:49::]:39870
t=2026-06-04T12:38:10-0600 lvl=info msg="join connections" obj=join id=ae7ae3420c51 l=[::1]:3000 r=[2a03:2880:22ff:50::]:39010
t=2026-06-04T12:38:11-0600 lvl=info msg="join connections" obj=join id=1b681f0de320 l=[::1]:3000 r=[2a03:2880:21ff:71::]:64210
t=2026-06-04T12:38:12-0600 lvl=info msg="join connections" obj=join id=c6b539d3ffc0 l=[::1]:3000 r=[2a03:2880:10ff:43::]:54570
t=2026-06-04T12:38:12-0600 lvl=info msg="join connections" obj=join id=707b2271103b l=[::1]:3000 r=[2a03:2880:21ff:3::]:60730
t=2026-06-04T12:38:12-0600 lvl=info msg="join connections" obj=join id=a598c0c9b88a l=[::1]:3000 r=[2a03:2880:2ff:5e::]:59524
t=2026-06-04T12:38:35-0600 lvl=info msg="join connections" obj=join id=07ba3a06dd9e l=[::1]:3000 r=[2a03:2880:10ff:5a::]:36616
t=2026-06-04T12:38:37-0600 lvl=info msg="join connections" obj=join id=f3e6b96f84dc l=[::1]:3000 r=[2a03:2880:10ff:5::]:61692
t=2026-06-04T12:38:37-0600 lvl=info msg="join connections" obj=join id=9e6cc1ca2c74 l=[::1]:3000 r=[2a03:2880:21ff:4e::]:55680
t=2026-06-04T12:38:37-0600 lvl=info msg="join connections" obj=join id=a1922c49588e l=[::1]:3000 r=[2a03:2880:2ff:4e::]:49606
t=2026-06-04T12:38:37-0600 lvl=info msg="join connections" obj=join id=0cac296e559f l=[::1]:3000 r=[2a03:2880:12ff:41::]:54190
t=2026-06-04T12:38:50-0600 lvl=info msg="join connections" obj=join id=76df6517b0b3 l=[::1]:3000 r=[2a03:2880:22ff:3::]:50742
t=2026-06-04T12:38:57-0600 lvl=info msg="join connections" obj=join id=8f48f009841a l=[::1]:3000 r=[2a03:2880:22ff:7::]:47304
t=2026-06-04T12:38:57-0600 lvl=info msg="join connections" obj=join id=303b9296660f l=[::1]:3000 r=[2a03:2880:10ff:52::]:55300
t=2026-06-04T12:38:57-0600 lvl=info msg="join connections" obj=join id=aaa76bee5e82 l=[::1]:3000 r=[2a03:2880:12ff:9::]:42496
t=2026-06-04T12:38:57-0600 lvl=info msg="join connections" obj=join id=e8588bfafab0 l=[::1]:3000 r=[2a03:2880:22ff:5::]:39024
t=2026-06-04T12:39:01-0600 lvl=info msg="join connections" obj=join id=4e802a8bfacb l=[::1]:3000 r=[2a03:2880:21ff:72::]:51430
